first_name,last_name,email,DOB,gender,city,Preference_CITY,Country,KEY_SKILLS,mode_of_work,current_CTC,Expected_CTC
Rachel,Johnson,jonesjesse@yahoo.com,1998-09-25,Male,São Paulo,"Recife, Curitiba, Rio de Janeiro","Spain, Portugal, Brazil","Digital Marketing, Generative AI, DevOps, Machine Learning, Web Development","Remote, Onsite, Hybrid",7360.08,8444.8
Dana,Massey,jerry51@yahoo.com,2005-03-22,Male,Recife,"Brasília, Recife, Salvador","Brazil, Portugal, Spain","Renewable Energy, Machine Learning, Data Analytics, Web Development, Digital Marketing","Onsite, Remote, Hybrid",6050.89,6890.72
Mary,Wood,donaldsonherbert@yahoo.com,1995-04-07,Other,São Paulo,"Rio de Janeiro, São Paulo, Brasília","Portugal, Spain, Brazil","Renewable Energy, Machine Learning, Digital Marketing, Project Management, Data Science","Remote, Hybrid, Onsite",6411.92,7712.5
Jessica,Sanchez,amysmith@jackson.net,1986-10-09,Female,São Paulo,"Porto Alegre, Curitiba, Rio de Janeiro","Spain, Brazil, Portugal","Data Science, Data Analytics, Renewable Energy, Environmental Engineering, DevOps","Hybrid, Onsite, Remote",7684.69,10674.14
Julie,Griffith,mark47@james.com,2005-04-09,Other,Recife,"Fortaleza, Salvador, Rio de Janeiro","Portugal, Spain, Brazil","Data Analytics, Web Development, Generative AI, Renewable Energy, Machine Learning","Remote, Onsite, Hybrid",6906.11,9313.8
Zachary,Silva,forbessarah@marks.com,2003-12-25,Female,Salvador,"Porto Alegre, São Paulo, Recife","Portugal, Brazil, Spain","Renewable Energy, Machine Learning, Environmental Engineering, Web Development, DevOps","Onsite, Hybrid, Remote",4510.87,6298.72
Micheal,Reed,harperwilliam@warner-faulkner.net,1999-04-03,Female,Recife,"Rio de Janeiro, Salvador, Curitiba","Spain, Brazil, Portugal","Data Analytics, DevOps, Digital Marketing, Data Science, Machine Learning","Remote, Onsite, Hybrid",5472.15,6729.11
Rhonda,Walker,ramoskimberly@gmail.com,1985-11-11,Other,Rio de Janeiro,"Brasília, Curitiba, Fortaleza","Brazil, Portugal, Spain","Data Analytics, Data Science, Web Development, Environmental Engineering, Project Management","Hybrid, Onsite, Remote",5316.56,7464.74
Jeffrey,Friedman,rhonda46@sanchez.com,1986-04-22,Other,Porto Alegre,"Brasília, Porto Alegre, Curitiba","Portugal, Spain, Brazil","Data Science, Environmental Engineering, Web Development, DevOps, Digital Marketing","Onsite, Remote, Hybrid",4663.27,5940.84
Kathleen,Parker,orusso@gmail.com,2006-09-19,Male,Rio de Janeiro,"Brasília, Curitiba, Porto Alegre","Portugal, Spain, Brazil","Data Science, Web Development, Project Management, Digital Marketing, Data Analytics","Hybrid, Onsite, Remote",4598.46,6143.32
Tanner,Herrera,hayspeter@yahoo.com,2001-02-22,Male,Salvador,"Fortaleza, Recife, Brasília","Portugal, Brazil, Spain","Data Analytics, Project Management, Environmental Engineering, Data Science, Digital Marketing","Remote, Hybrid, Onsite",4814.86,5479.92
Aaron,Ross,osilva@warren-lawrence.com,1993-11-09,Female,Fortaleza,"Fortaleza, São Paulo, Curitiba","Portugal, Brazil, Spain","Web Development, Project Management, Digital Marketing, Generative AI, Data Science","Remote, Hybrid, Onsite",4208.58,5440.63
Carla,Brown,jasonrowe@gmail.com,2003-09-06,Other,Salvador,"Rio de Janeiro, Porto Alegre, São Paulo","Brazil, Portugal, Spain","Generative AI, Data Science, DevOps, Digital Marketing, Renewable Energy","Hybrid, Remote, Onsite",4281.32,5677.55
Robert,Bradley,iortiz@ortiz-powell.com,1998-01-22,Male,São Paulo,"Curitiba, Rio de Janeiro, Salvador","Portugal, Brazil, Spain","Project Management, Data Science, Web Development, Environmental Engineering, Renewable Energy","Remote, Hybrid, Onsite",3580.9,5054.17
Kaylee,Schultz,ilee@medina.net,1985-06-01,Male,Recife,"Recife, Fortaleza, Rio de Janeiro","Brazil, Spain, Portugal","Machine Learning, Project Management, Digital Marketing, Environmental Engineering, Data Science","Hybrid, Remote, Onsite",7344.68,8226.47
Mark,Young,waltonadriana@gregory-thompson.net,2001-06-01,Other,Porto Alegre,"Curitiba, Rio de Janeiro, Recife","Portugal, Spain, Brazil","Generative AI, Digital Marketing, Environmental Engineering, DevOps, Data Analytics","Hybrid, Onsite, Remote",5967.28,6638.12
Kristina,Blankenship,tayloredward@floyd.com,2001-07-22,Other,Rio de Janeiro,"Fortaleza, Salvador, Recife","Spain, Portugal, Brazil","Machine Learning, DevOps, Environmental Engineering, Project Management, Web Development","Remote, Onsite, Hybrid",2747.95,3064.84
Francisco,Barnes,alirichard@manning-serrano.com,1995-03-06,Other,Curitiba,"Rio de Janeiro, Fortaleza, Brasília","Portugal, Spain, Brazil","DevOps, Generative AI, Data Science, Project Management, Environmental Engineering","Remote, Onsite, Hybrid",2679.6,3133.17
